,Name
615,Patricia C. Wrede
616,Richard Wright (author)
617,Diana Wynne Jones
618,Rick Yancey
619,Gene Luen Yang
620,Laurence Yep
621,Jane Yolen
622,Honobu Yonezawa
623,David Yoo
624,Nicola Yoon
625,Allen Zadoff
626,Carlos Ruiz Zafón
627,Timothy Zahn
628,Sara Zarr
629,Gabrielle Zevin
630,Kat Zhang
631,Xiran Jay Zhao
632,Cecily von Ziegesar
633,Paul Zindel
634,Ibi Zoboi
635,Markus Zusak
